feature,p-value,NC-mean,AD-mean,NC-std,AD-std,
wavelet-HLH_glcm_SumEntropy,0.00000000005306937359 ,1.48914126177777000000 ,1.50002564757894000000 ,0.00529475521631712000 ,0.00774353638336370000 ,
wavelet-HLH_gldm_DependenceEntropy,0.00000000063418089698 ,4.67541289257777000000 ,4.73998279992105000000 ,0.02871401833235350000 ,0.05331098431448330000 ,
wavelet-HLH_gldm_DependenceNonUniformity,0.00000000006024217015 ,555.33879468222200000000 ,422.32044387631500000000 ,53.46320196862290000000 ,103.14988031608600000000 ,
wavelet-HLH_gldm_DependenceNonUniformityNormalized,0.00000000146751098193 ,0.08865532231111110000 ,0.08454456047368420000 ,0.00193863024644753000 ,0.00344887149348827000 ,
wavelet-HLH_gldm_DependenceVariance,0.00000000310698428471 ,9.93945236068888000000 ,10.87000071413150000000 ,0.38687531522448800000 ,0.83904221471550300000 ,
wavelet-HLH_gldm_GrayLevelNonUniformity,0.00000000189805219449 ,3132.16970562222000000000 ,2484.72583091315000000000 ,290.50255051503200000000 ,559.09827513784800000000 ,
wavelet-HLH_glrlm_GrayLevelNonUniformity,0.00000000036159034396 ,1866.00845282222000000000 ,1480.72879134210000000000 ,158.19964847625200000000 ,318.69840756954500000000 ,
wavelet-HLH_glrlm_RunLengthNonUniformity,0.00000000005555918406 ,1606.90585388888000000000 ,1278.45895581842000000000 ,122.15709283625400000000 ,259.69584386375400000000 ,
wavelet-HLH_glszm_LargeAreaEmphasis,0.00000028116195757092 ,1757862.33660000000000000000 ,1097144.59202763000000000000 ,526668.07122543100000000000 ,545233.38791385900000000000 ,
wavelet-HLH_glszm_LargeAreaHighGrayLevelEmphasis,0.00000029439486491185 ,4450814.34793333000000000000 ,2782487.90231105000000000000 ,1327521.22976694000000000000 ,1385124.83755681000000000000 ,
wavelet-HLH_glszm_LargeAreaLowGrayLevelEmphasis,0.00000027992673318725 ,1084624.33386888000000000000 ,675808.76453842100000000000 ,327121.32633531700000000000 ,335785.44086797100000000000 ,
wavelet-HLH_ngtdm_Busyness,0.00000000007921901758 ,1483.53287268888000000000 ,1144.28692242368000000000 ,139.55440903467400000000 ,263.90631007332300000000 ,
wavelet-HLH_ngtdm_Complexity,0.00000000000001116768 ,0.48882286968888800000 ,0.47663869297368400000 ,0.00430476086206785000 ,0.00729642807306473000 ,
